# This is a continuation of trace file C:\Users\Asus\AppData\Local\1C\1cedtstart\projects\TDM\.metadata\trace.log.bak_4
# version: 1.1
# verbose: true
# Time of creation: 2026-03-18 13:56:24.513
| Worker-9: Activate project context | 2026-03-18 13:56:24.513 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/SettingsStorages/ReportsVariantsStorage/Forms/SelectFiscalPeriodDay/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.514 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/SettingsStorages/ReportsVariantsStorage/Forms/SelectFiscalPeriodDay/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.SettingsStorageFormImpl@d1bca59d, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/SettingsStorage.ReportsVariantsStorage#/forms:SelectFiscalPeriodDay] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.523 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/SettingsStorages/ReportsVariantsStorage/Forms/SelectFiscalPeriodDay/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/SettingsStorage.ReportsVariantsStorage#/forms:SelectFiscalPeriodDay] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.523 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/Catalogs/ExtensionObjectIDs/Forms/ListForm/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.523 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/Catalogs/ExtensionObjectIDs/Forms/ListForm/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@a5d064aa, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/Catalog.ExtensionObjectIDs#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.524 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/Catalogs/ExtensionObjectIDs/Forms/ListForm/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/Catalog.ExtensionObjectIDs#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.524 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/DataProcessors/BatchEditAttributes/Forms/AdditionalParameters/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.524 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/BatchEditAttributes/Forms/AdditionalParameters/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@8bbbe139, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.BatchEditAttributes#/forms:AdditionalParameters] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.524 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/BatchEditAttributes/Forms/AdditionalParameters/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.BatchEditAttributes#/forms:AdditionalParameters] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.525 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/SettingsStorages/ReportsVariantsStorage/Forms/QuickReportSettings/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.525 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/SettingsStorages/ReportsVariantsStorage/Forms/QuickReportSettings/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.SettingsStorageFormImpl@a6907548, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/SettingsStorage.ReportsVariantsStorage#/forms:QuickReportSettings] |
