# This is a continuation of trace file C:\Users\Asus\AppData\Local\1C\1cedtstart\projects\TrainingManagement\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-05-07 10:40:44.724
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:44.724 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Reusing alive cached designer agent connection for infobase TDM_25 from the pool |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:44.726 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Executing in existing designer session: Loading 8 configuration objects to infobase TDM_25 |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:44.732 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Sending to designer agent: config load-files --dir="xml-inc-62310" --archive="xml.zip" --no-check --list-file="xml-inc-62310\load.lst" --update-config-dump-info |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:50.616 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Updating database configuration of infobase TDM_25 |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:50.620 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Sending to designer agent: config update-db-cfg --prompt-confirmation --session-terminate="prompt" |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.180 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Incremental load finished: true |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.181 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Storing fresh configuration dump info file and generationId: source=C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-62310, target=Optional[com._1c.g5.v8.dt.internal.platform.services.core.infobases.sync.connections.StoringConfigDumpInfoOption@681e04a5], status=Status OK: unknown code=0 OK |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.184 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Reusing alive cached designer agent connection for infobase TDM_25 from the pool |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.185 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Retrieving data generation identifier from infobase TDM_25 configuration using existing designer session |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.185 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Sending to designer agent: config generation-id |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.202 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Saving new genereation identifier for infobase TDM_25 configuration: 2d5dbdb6a1e6564a9493c09d6ca8fb6900000000 |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.330 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Reevaluating supported platform installations |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.331 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Reevaluating registered platform installations |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.333 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Loaded list of platform installations from store: 9 total |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.347 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:TrainingAndDevelopmentManagement, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@7fa1973a (name: TDM_25, uuid: bae1e920-6a5f-483e-83d8-8b02af9a7b85, external: false, orderInList: 1852416.0, orderInTree: 101.486968449931) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.24.1819, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0, requiresSynchronization=false] |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.348 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Reusing cached alive designer agent connection for infobase TDM_25 from the pool |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.385 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Starting debug server process: [C:\Program Files\1cv8\8.3.24.1819\bin\dbgs.exe, -p, 1550, -opid, 11112] |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:53.429 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Stated debug server process: Process[pid=19400, exitValue="not exited"] |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:54.199 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Running outside of designer session: Starting thin client for infobase TDM_25 |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:54.199 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Reusing alive cached designer agent connection for infobase TDM_25 from the pool |
| Worker-13: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:40:54.199 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Starting thin client: [C:\Program Files\1cv8\8.3.24.1819\bin\1cv8c.exe, ENTERPRISE, /EnableCheckModal, /EnableCheckExtensionsAndAddInsSyncCalls, /F, D:\1C_Bases\Task25_1, /DisableStartupMessages, /DisplayPerformance, /TechnicalSpecialistMode, /DEBUG, -http, -attach, /DEBUGGERURL, http://LAPTOP-KHOAND:1550/, /WA, +] |
| derived_data_executor_5 | 2026-05-07 10:42:16.108 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been saved (L/TrainingAndDevelopmentManagement/src/CommonModules/WorkWithLessonsServerCall/WorkWithLessonsServerCall.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.metadata.mdclass.impl.CommonModuleImpl@a294d403] |
| derived_data_executor_5 | 2026-05-07 10:42:16.109 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonModules/WorkWithLessonsServerCall/WorkWithLessonsServerCall.mdo, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonModuleImpl@a294d403, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonModuleImpl@a294d403 |
| derived_data_executor_5 | 2026-05-07 10:42:16.110 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/CommonModules/WorkWithLessonsServerCall/WorkWithLessonsServerCall.mdo, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonModuleImpl@a294d403, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonModule.WorkWithLessonsServerCall#/] |
| derived_data_executor_5 | 2026-05-07 10:42:16.111 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/CommonModules/WorkWithLessonsServerCall/WorkWithLessonsServerCall.mdo, originally changed objects=[com._1c.g5.v8.dt.metadata.mdclass.impl.CommonModuleImpl@a294d403], resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonModule.WorkWithLessonsServerCall#/] |
| derived_data_executor_6 | 2026-05-07 10:47:18.351 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/Documents/LessonCreationRequest/ManagerModule.bsl |
| derived_data_executor_6 | 2026-05-07 10:47:18.352 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/Documents/LessonCreationRequest/ManagerModule.bsl, owner object=com._1c.g5.v8.dt.bsl.model.impl.ModuleImpl@1325720c (eProxyURI: platform:/resource/TrainingAndDevelopmentManagement/src/Documents/LessonCreationRequest/ManagerModule.bsl#/0), objects to update in infobase=[platform:/resource/TrainingAndDevelopmentManagement/src/Documents/LessonCreationRequest/ManagerModule.bsl#/0] |
| derived_data_executor_6 | 2026-05-07 10:47:18.353 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/Documents/LessonCreationRequest/ManagerModule.bsl, originally changed objects=null, resulting objects to update in infobase=[platform:/resource/TrainingAndDevelopmentManagement/src/Documents/LessonCreationRequest/ManagerModule.bsl#/0] |
| derived_data_executor_8 | 2026-05-07 10:47:18.376 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/DataProcessors/TeacherWorkspace/Forms/Form/Module.bsl |
| derived_data_executor_8 | 2026-05-07 10:47:18.378 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/TeacherWorkspace/Forms/Form/Module.bsl, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@4968fd46, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.TeacherWorkspace#/forms:Form] |
| derived_data_executor_8 | 2026-05-07 10:47:18.378 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/TeacherWorkspace/Forms/Form/Module.bsl, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.TeacherWorkspace#/forms:Form] |
| main | 2026-05-07 10:47:34.652 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Reevaluating supported platform installations |
| main | 2026-05-07 10:47:34.653 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Reevaluating registered platform installations |
| main | 2026-05-07 10:47:34.654 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Loaded list of platform installations from store: 9 total |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:36.591 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Reevaluating supported platform installations |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:36.591 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Reevaluating registered platform installations |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:36.592 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Loaded list of platform installations from store: 9 total |
